tokens_tags,frequency
भाग_NN,434
घोषित_JJ,68
लभरी_JJ,1
खुर्द_NN,12
प्रारंभिक_JJ,27
शताब्दियों_NN,11
सोलापुर_XC,3
हिंदू_JJ,14
चालुक्यों_NN,1
देवगिरि_XC,1
यादवों_NN,1
शासन_NN,71
किंतु_CC,18
बहमनी_NN,1
बीजापुर_NNP,5
साम्राज्य_NN,86
पार्क_NN,29
सताडस्त्रादगार्डन_XC,1
नाम_NN,887
दिया_VM,198
1867_QC,6
स्मारक_NN,18
बनने_VM,41
इसको_PRP,45
मौजूदा_JJ,17
इनकी_PRP,84
दौड़ने_NNP,1
ख़ूबी_NN,2
जाने_VM,96
चला_VM,43
खुद_PRP,28
पूर्व_JJ,111
प्रधानमंत्री_NN,43
डा_VM,4
मनमोहन_XC,7
सिंह_NNP,264
कानून_NN,28
दायरे_NN,7
कम_QF,176
गोपनीयता_NN,1
बढ़ाने_NN,16
वकालत_NN,6
आतिश_NN,1
1994_QC,64
सर्वोच्च_JJ,71
न्यायालय_NN,74
बतौर_JJ,24
न्यायाधीश_NN,55
नियुक्त_JJ,63
पूर्व_NST,313
लाहौर_NN,20
उच्च_JJ,105
महाभारत_NNP,17
बड़ी_XC,97
संख्या_NN,201
यादव_NN,16
ओर_NST,191
अग्रसर_VM,1
आ_VM,58
कर_VAUX,105
बस_XC,3
गये_NNP,2
गिरजे_NN,1
म्खोटा_NN,1
वेंतूरा_JJ,1
रोदरीगुएज़_NN,1
1783_QC,1
ई_SYM,144
कीमत_NN,10
1973_QC,47
हलांकि_CC,4
न्यूरोवेस्कुलर_JJ,1
विकार_NN,14
विभाजन_NN,28
काल_NN,138
याद_NN,28
काफ़ी_XC,12
भावुक_NN,1
जाते_VAUX,229
ऐलेक्ज़ैन्डर_XC,1
द्वीप_NN,232
ऐलेक्ज़ैन्डर_NN,1
अंटार्कटिका_NN,7
महाद्वीप_NNP,5
बड़ा_NN,103
फिल्_XC,3
म_RP,22
मनोरंजन_NN,21
ज्_JJ,6
‍_NN,229
वलन्_QC,1
त_PSP,15
मुद्धा_NN,1
उठाने_VM,9
सहायक_JJ,64
सिद्ध_JJ,22
होगी_VM,32
कईं_QF,6
आंदोलन_NN,46
बावजूद_PSP,33
राजस्_XC,7
‍_XC,308
थानी_XC,3
कोई_PRP,126
मान्_XC,4
यता_NN,6
मिलना_VM,2
तर्ज_NN,3
राजस्_JJ,1
लेकर_VM,107
इर्द_XC,15
गिर्द_NN,2
रची_VM,4
बसी_VAUX,1
बरी_JJ,3
बीघा_NN,7
धनरूआ_XC,10
राजमहल_NN,3
लोक_XC,236
निर्वाचन_JJ,508
झारखंड_XC,13
मित्तर_JJ,2
पिआर_NN,2
विख्यात_JJ,347
साहित्यकार_NN,332
संतसिंह_XC,1
सेखों_NN,1
नाटक_NN,39
लिये_PSP,510
उन्हें_PRP,667
सन्_XC,442
1972_QC,46
साहित्य_NN,405
अकादमी_JJ,327
महानगर_NNP,6
बंदरगाह_NN,27
पोर्ट_XC,13
ऑफ_XC,125
मियामी_NNP,3
यात्रियों_NN,18
आवागमन_NN,8
क्रूज_XC,1
लाइंस_NNP,2
दोनों_NN,72
दृष्टि_NN,77
दुनिया_NN,180
व्यस्त_JJ,1
क्रूज_NN,3
शिप_XC,1
यात्री_NN,41
इसे_PRP,460
राजनीतिक_JJ,51
कसौटी_NN,1
रहा_VAUX,155
पापुआ_XC,22
न्यू_XC,55
गिनी_NNP,16
रानी_NN,61
एलिज़ाबेथ_RDP,43
द्वितीय_QO,72
फिल्म_XC,35
बड़े_NNP,118
पैमाने_NN,15
आलोचकों_NN,16
प्रशंसा_NN,26
अमेरिका_NNP,241
मुलाकात_NN,8
स्तुति_NN,5
आवाज_NN,16
अभिनय_NN,140
एनीमेशन_NN,4
लेखन_NN,43
हास्य_NN,33
विषयों_NN,17
पूर्वाग्रह_NN,3
रूढ़ियों_NN,3
बारे_PSP,79
संदेश_NN,14
कार्यकारी_JJ,13
गर्वनेस_NNP,1
उसकी_PRP,78
संस्तुति_NN,2
भेजता_VM,1
मुख्यालय_NN,242
अमरेली_JJ,51
स्टेडियम_NN,69
क्षमता_NN,62
25_QC,98
दर्शक_NN,7
सेंट_XC,55
किट्स_NN,8
नेविस_NN,8
सैद्धांतिक_JJ,9
राजतंत्र_NN,17
शासक_NN,78
पदाधिकारी_NN,5
राष्ट्रप्रमुख_NN,8
हालांकि_CC,123
संवैधानिक_JJ,18
शक्तियों_NN,11
अभ्यास_NN,16
गवर्नर_NN,28
जनरल_JJ,20
मैच_NN,78
बेयर्न_JJ,10
म्यूनिख_NN,11
वालेंसिया_NNP,2
बीच_NST,251
फल्दाकोट_NN,1
वनेल_NNP,5
पौडी_JJ,154
पौड़ी_XC,451
काला_JJ,11
शब्द_NN,99
बयालुसीम_NN,2
काली_JJ,18
मिट्टी_NN,25
आया_VM,65
ऊंचा_JJ,45
यानि_CC,44
दक्कन_NN,3
पठारी_JJ,5
भूमि_NN,55
एकल_XC,43
हिट_XC,1
विश_XC,1
आई_XC,19
हैड_XC,2
एन_XC,27
एंजिल_NNP,1
दौरे_NN,8
प्रचार_NN,13
साउंडट्रैक_NN,3
बनाया_VM,159
इस_XC,17
निर्माण_NN,226
मधन_NN,2
पी_XC,28
22_QC,97
मई_NNP,163
प्रधानमंत्री_JJ,18
केंद्रीय_XC,18
कैबिनेट_NN,7
23_QC,73
विदेश_XC,19
मंत्रालय_NN,30
जिम्मेदारी_NN,7
सौंपी_VM,2
कुडेकेला_JJ,1
धरमजयगढ_NN,32
धौंराभांठा_NNP,1
सांरगढ_XC,53
उदास_NN,4
व्यक्ति_NN,88
दुखी_NN,1
उत्सुक_JJ,2
सकता_VAUX,187
खाली_JJ,9
निराश_NN,1
बेबस_NN,1
बेकार_JJ,2
दोषी_JJ,6
चिड़चिड़ा_JJ,1
या_CC,697
बेचैन_JJ,1
पाठक_NN,11
विमल_JJ,1
सीरीज_NN,41
वां_NN,28
उपन्यास_NN,158
जिसकी_PRP,71
मुम्बई_NNP,9
परिवेश_NN,7
सेट_NN,9
कोरदोबा_NNP,3
इतिहासिक_JJ,1
केंद्र_NN,87
कोरदोबा_XC,1
नेल्लौर_XC,1
जिला_NNP,56
निलाडी_NN,1
किर्कबरोन_XC,1
ऊमेओ_XC,6
शहिर_NN,1
ऊमे_JJ,1
नदी_NN,299
पुल_NN,17
अनावरण_NN,5
समारोह_NN,44
सप्ताह_NN,26
अंत_NN,64
विभिन्न_JJ,141
आयोजनों_NN,7
जिनके_PRP,38
अतिथियों_NN,1
यूनाइटेड_XC,28
किंगडम_NNP,28
गणमान्य_JJ,2
वारिस_NN,5
1988_QC,54
लधापुर_XC,1
आकार_NN,63
बराबर_JJ,18
इश्तार_JJ,2
टेरा_NN,3
बहुत_INTF,128
मामूली_JJ,5
अमर_XC,6
अकबर_XC,4
एन्थोनी_XC,1
1977_QC,48
अक्टूबर_NNP,139
1595_QC,3
जपका_NNP,1
अल्मोड़ा_NNP,28
गोल्डन_XC,17
ग्लोब_XC,21
स्क्रीन_NN,8
एक्टर्स_XC,7
गिल्ड_XC,8
अवार्ड्स_NN,10
अपने_PRP,735
पिटाई_NN,2
पंख_NN,6
मनुष्य_NN,23
श्रव्य_NN,1
आवृत्तियों_NN,1
फ्लैप_NN,1
गुनगुना_VAUX,1
ध्वनि_NN,12
वजह_NN,62
हमिंग_XC,1
बर्ड_NN,3
जाना_VM,303
समूह_NN,147
कुल_QF,300
18_QC,106
देवताओं_NN,19
होंगे_VM,5
आराध्य_JJ,2
भगवान_XC,53
राम_NNP,39
उपमहाद्वीप_NN,23
व्यापक_JJ,48
रिपोर्टिंग_NN,1
जुड़ा_XC,2
पत्रकारिता_NN,12
जीवन_XC,15
बेहद_INTF,13
विविधतापूर्ण_JJ,1
बनही_NNP,1
कुरसाहा_XC,1
खुदाबंदपुर_NNP,2
बेगूसराय_NN,134
गुरहा_VM,1
आगरा_XC,40
फ़तेहाबाद_JJ,38
प्रखंड_NN,45
जोड़ी_NNP,7
मनमीत_XC,1
हरमीत_XC,1
संजय_XC,23
गांधी_NNP,56
थर्मल_XC,2
पावर_XC,4
प्लांट_NNP,3
पूर्व_XC,43
रेलवे_XC,71
एसईआर_NN,1
बिलासपुर_XC,4
कटनी_RDP,1
अनुभाग_NN,4
बिरसिंहपुर_NN,1
स्टेशन_NN,76
गुजरात_NN,89
कच्छ_NN,9
आदिपुर_NN,1
पल्लिपाडु_NNP,1
कर्नूलु_NN,88
सेवा_NN,124
रहते_VM,81
उन्_DEM,1
होंने_VM,1
हिंदी_NN,88
बैंकिंग_XC,2
साहित्_XC,2
तैयार_JJ,55
कराने_VM,12
महत्_JJ,8
वपूर्ण_JJ,7
निभायी_VM,7
प्राचीन_JJ,133
बाजारों_NN,10
रौनक_NN,2
देखते_VM,16
बनती_VM,15
अंग्रेज़ी_NN,176
जैकोबाबाद_JJ,1
लिखा_VM,63
वास्तविक_JJ,34
उच्चारण_NN,50
जैकबाबाद_JJ,1
मध्य_JJ,71
पश्चिमी_JJ,175
दक्षिणी_JJ,114
पाया_VM,56
संस्कृत_JJ,56
महाविद्यालय_NN,25
काराकोरम_XC,6
किर्गिज़_NNP,2
जिस_PRP,29
मतलब_NN,15
भुरभुरी_JJ,1
छिछोना_NNP,1
पट्टी_NN,28
कायमगंज_NN,64
